,Order,Suspense,Vividness,accuracy,maxdur,mean_pupil,mean_suspense,mean_vivid,nonnan_pupil,pupil_change,samples,z_pupil
count,577.0,573.0,573.0,577.0,577.0,538.0,577.0,577.0,577.0,522.0,577.0,577.0
mean,2.0138648180242633,4.181500872600349,4.895287958115183,76.99306759098786,44.38059379203497,-0.10743870872161031,4.180242634315425,4.896013864818024,88.2653474552023,-0.004881559054181279,2663.849220103986,-0.03731813578645873
std,0.816378649738994,1.6275189778197894,1.316727558813119,19.046633755438947,16.514819617280885,0.18566304483679197,1.6315332161714715,1.3134988473651794,8.783783298721621,0.1875778419630714,990.9100754221724,0.9021894043016911
min,1.0,1.0,2.0,25.0,17.033674000016006,-0.8823074454428752,1.0,2.0,52.08387942332896,-0.547190884888569,1023.0,-1.9840574893911127
25%,1.0,3.0,4.0,75.0,34.70069399997196,-0.2129916080283583,3.0,4.0,83.57597816196542,-0.11469382886287198,2083.0,-0.7251898745778375
50%,2.0,4.0,5.0,75.0,41.03169199992198,-0.08847126026751151,4.0,5.0,90.38203753351206,0.009110563287559811,2463.0,-0.11539506298614025
75%,3.0,5.0,6.0,100.0,50.15100300004805,0.021116171321150505,5.0,6.0,94.91386382280558,0.11557896371481484,3010.0,0.65727798497744
max,3.0,7.0,7.0,100.0,179.409490000286,0.38445019723865864,7.0,7.0,99.951992318771,0.4814643364867506,10766.0,1.9968460173617917
