,Pupil,Suspense,Vividness,Word_order
count,5821.0,5821.0,5821.0,5821.0
mean,-0.08849029111596951,4.140353891084006,4.817557120769627,5.4210616732520185
std,0.1578765053580317,1.6201231801087954,1.4107007387362571,2.8389466682857947
min,-0.739254273653914,1.0,1.0,1.0
25%,-0.1839568481597,3.0,4.0,3.0
50%,-0.0964896827612912,4.0,5.0,5.0
75%,0.0041242388706432,5.0,6.0,8.0
max,0.641402681981274,7.0,7.0,10.0
