"Subject","Word","Pupil","Paragraph","Brightness","Story","Vividness","Suspense","Word_order"
"P01M29","story3_bright_opplyst",0.0425338719568083,"story3_bright","bright","story3",4,4,1
"P01M29","story3_bright_skinnende_2",0.0412262663604273,"story3_bright","bright","story3",4,4,2
"P01M29","story3_bright_gnistrende",-0.122151540669318,"story3_bright","bright","story3",4,4,3
"P01M29","story3_bright_belysningen_2",-0.122421309130462,"story3_bright","bright","story3",4,4,4
"P01M29","story3_bright_strålte",-0.119709096062738,"story3_bright","bright","story3",4,4,5
"P01M29","story3_bright_skimrende_2",-0.179972428046514,"story3_bright","bright","story3",4,4,6
"P01M29","story3_bright_lyset_3",-0.174652335138717,"story3_bright","bright","story3",4,4,7
"P01M29","story3_bright_glødende",-0.0838975072252149,"story3_bright","bright","story3",4,4,8
"P01M29","story3_bright_klarhet",-0.0714728993488465,"story3_bright","bright","story3",4,4,9
"P01M29","story3_bright_glinset_2",-0.177764524935579,"story3_bright","bright","story3",4,4,10
"P01M29","story3_dark1_kveldsmørket",0.0551140890357531,"story3_dark1","dark","story3",4,4,1
"P01M29","story3_dark1_dunkle_3",-0.0137789209801589,"story3_dark1","dark","story3",4,4,2
"P01M29","story3_dark1_skygger_3",-0.0116483849195895,"story3_dark1","dark","story3",4,4,3
"P01M29","story3_dark1_beksvart_2",-0.120011486784883,"story3_dark1","dark","story3",4,4,4
"P01M29","story3_dark1_mørke_3",-0.175653114129997,"story3_dark1","dark","story3",4,4,5
"P01M29","story3_dark1_dyp",-0.113409158560594,"story3_dark1","dark","story3",4,4,6
"P01M29","story3_dark1_sort",-0.114117547418222,"story3_dark1","dark","story3",4,4,7
"P01M29","story3_dark1_ugjennomsiktig_2",-0.150907883939378,"story3_dark1","dark","story3",4,4,8
"P01M29","story3_dark1_nedtonet",-0.119518309926128,"story3_dark1","dark","story3",4,4,9
"P01M29","story3_dark1_skyggeaktig",-0.133925311845251,"story3_dark1","dark","story3",4,4,10
"P01M29","story3_dark2_nattens",0.0479213952338422,"story3_dark2","dark","story3",4,4,1
